Episode,Score
1,3085.13658594912
2,1092.1372884557768
3,2898.521493244829
4,3085.1366314292504
5,1047.1331890834106
6,1047.133159529682
7,3085.1366549530176
8,1092.137276207355
9,3061.4119315186767
10,1092.1372535270962
11,3054.272374666754
12,2044.7050713758215
13,1092.137277336361
14,3106.416533229878
15,1063.8530516661417
16,902.6930439533182
17,2907.4590002245095
18,1062.5363242136639
19,2298.4019071254193
20,3324.3931660849175
21,3317.378110634825
22,3310.3472397578776
23,5869.046381672915
24,4093.3400461468977
25,3133.039122021747
26,6046.750626163983
27,5748.631541606786
28,5655.430405145466
29,4947.861356639429
30,2959.85378907422
31,1403.5040550897302
32,1602.5345752728972
33,626.2642314131889
34,645.2640304963111
35,1638.2638542357063
36,645.2635044096392
37,1638.2644659520229
38,619.2638971906172
39,1638.265061055015
40,1638.2651575929738
41,1638.2657092578024
42,626.2648690491354
43,645.264169382543
44,626.2634736423363
45,626.2633108762304
46,626.2626043596349
47,626.2630971194244
48,2621.535005768282
49,2621.5354554647856
50,2628.5353791765783
51,1602.538631876183
52,583.5349880697089
53,1578.7860306382915
54,552.6238075517786
55,1552.2678497212164
56,2634.59033561559
57,1884.0380080521213
58,971.5611715283294
59,1990.5633314372128
60,2990.566229206326
61,3042.56736744571
62,3035.5680480677665
63,1021.2844568646209
64,1021.2845736844878
65,1021.284689981592
66,1021.2847610448965
67,1021.2846518512745
68,1021.2845115293627
69,1021.284329720948
70,3042.566679519378
71,1990.5654088677145
72,1933.8410246086578
73,2746.9639742400627
74,-1616.470277446183
75,-1646.5849234950656
76,-1664.31958579591
77,1720.82268703829
78,2803.606480815908
79,789.3704533731792
80,1808.3705852170983
81,1834.3706152089376
82,2853.3697678565354
83,2853.371399362768
84,865.1137815686034
85,1858.1143886640127
86,2884.1136370110667
87,2884.114687763473
88,895.8430017005562
89,914.8430612613581
90,921.8436181886466
91,1914.8432147208944
92,1914.8435768146564
93,1940.843389614451
94,1940.8433468306725
95,2940.843377351878
96,2940.8433725753057
97,2966.8435413652273
98,2959.843556206188
99,2959.8433511151734
100,945.5653988625068
